Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,311.54999,312.98001,310.01001,310.35001,2048000,310.35001
2014-12-30,309.91,313.94,309.34,310.29999,2093000,310.29999
2014-12-29,307.85001,314.26999,306.57999,312.04001,3009000,312.04001
2014-12-26,305.00,310.78,303.81,309.09,2887500,309.09
2014-12-24,306.38,307.00,302.88,303.03,1513800,303.03
2014-12-23,306.98001,307.48999,303.25,306.29001,2713700,306.29001
2014-12-22,301.94,307.35999,301.94,306.54001,4003800,306.54001
2014-12-19,296.91,301.54001,295.51999,299.89999,8709100,299.89999
2014-12-18,304.01001,304.50,293.25,297.73001,7738100,297.73001
2014-12-17,296.37,299.67001,293.03,298.88,4433500,298.88
2014-12-16,304.35001,304.48999,295.01001,295.06,6501300,295.06
2014-12-15,308.87,310.85999,302.14999,306.07001,3841600,306.07001
2014-12-12,303.98999,310.64001,303.01001,307.32001,3153500,307.32001
2014-12-11,307.89001,312.64001,306.01001,307.35999,3262900,307.35999
2014-12-10,312.00,313.19,304.67999,305.84,3245900,305.84
2014-12-09,302.98999,313.64001,301.14001,312.50,4049500,312.50
2014-12-08,311.57001,316.56,304.82001,306.64001,3639200,306.64001
2014-12-05,316.79999,316.92999,310.84,312.63,3265200,312.63
2014-12-04,315.53,318.59,313.47,316.92999,3290300,316.92999
2014-12-03,325.73001,326.76999,314.35999,316.50,5681000,316.50
2014-12-02,327.50,327.92999,323.25,326.31,2783500,326.31
2014-12-01,338.12,340.64001,325.92999,326.00,4944900,326.00
2014-11-28,336.03,341.26001,336.03,338.64001,3051800,338.64001
2014-11-26,333.78,334.64999,331.75,333.57001,1983600,333.57001
2014-11-25,335.26999,336.32999,331.28,335.04001,2561200,335.04001
2014-11-24,334.78,337.39001,333.60001,335.64001,2753700,335.64001
2014-11-21,335.42001,338.32999,331.47,332.63,4466000,332.63
2014-11-20,324.00,332.67001,323.32999,330.54001,3435000,330.54001
2014-11-19,327.25,328.39999,324.01999,326.54001,3280800,326.54001
2014-11-18,323.98999,329.56,323.25,324.92999,3549500,324.92999
2014-11-17,326.44,328.00,318.03,323.04999,4784600,323.04999
2014-11-14,317.12,332.88,316.39999,327.82001,8876300,327.82001
2014-11-13,312.00,317.89001,311.51001,316.48001,3685700,316.48001
2014-11-12,310.75,312.57999,308.79001,311.51001,2181700,311.51001
2014-11-11,305.94,312.38,303.64999,312.01001,3803600,312.01001
2014-11-10,300.00,305.79999,300.00,305.10999,2809100,305.10999
2014-11-07,297.82001,299.98999,296.29001,299.85999,2647400,299.85999
2014-11-06,296.69,297.00,292.29001,296.64001,3758100,296.64001
2014-11-05,303.01001,304.00,294.16,296.51999,4674500,296.51999
2014-11-04,303.98999,304.25,300.17001,302.81,3427400,302.81
2014-11-03,306.23999,308.01001,303.23999,305.72,3242500,305.72
2014-10-31,305.14999,305.72,301.50,305.45999,4550700,305.45999
2014-10-30,293.98001,299.73999,292.35999,299.07001,4048200,299.07001
2014-10-29,299.10999,299.60999,293.07001,294.12,4881900,294.12
2014-10-28,289.76001,298.00,289.76001,295.59,5572600,295.59
2014-10-27,285.70001,290.42001,285.01999,289.97,5950600,289.97
2014-10-24,284.39999,293.81,284.00,287.06,19801100,287.06
2014-10-23,313.39999,316.79999,311.39999,313.17999,9038200,313.17999
2014-10-22,315.42999,318.98001,312.64001,312.97,3125900,312.97
2014-10-21,309.89999,315.64001,307.07001,315.32999,3559300,315.32999
2014-10-20,302.95001,306.53,302.01999,306.20999,3234500,306.20999
2014-10-17,307.14999,309.20001,302.72,303.64001,4405100,303.64001
2014-10-16,293.82999,306.82001,293.82999,302.85999,4731300,302.85999
2014-10-15,304.35001,307.89999,299.10001,305.97,5343900,305.97
2014-10-14,308.00,312.23999,305.75,308.31,3385800,308.31
2014-10-13,309.87,313.20001,303.47,306.45001,4363900,306.45001
2014-10-10,314.01999,317.76999,311.38,311.39001,3681900,311.39001
2014-10-09,321.48999,322.26999,314.51999,315.37,3587900,315.37
2014-10-08,316.57999,324.10999,314.14001,322.70001,3452800,322.70001
2014-10-07,319.42999,322.00,316.67001,316.98001,2365400,316.98001
2014-10-06,323.50,324.13,319.60001,322.20001,2290300,322.20001
2014-10-03,320.35999,325.16,319.53,322.73999,3037400,322.73999
2014-10-02,316.92001,318.53,311.31,318.41,3553900,318.41
2014-10-01,322.04001,322.17001,315.54999,317.45999,3089100,317.45999
2014-09-30,321.35999,323.42999,318.51001,322.44,2636200,322.44
2014-09-29,320.50,323.75,319.00,321.82001,1924600,321.82001
2014-09-26,320.60001,323.50,317.64001,323.20999,3638000,323.20999
2014-09-25,327.98999,328.54001,321.39999,321.92999,2928800,321.92999
2014-09-24,324.17001,329.44,319.56,328.20999,2642200,328.20999
2014-09-23,322.45999,327.60001,321.25,323.63,2352600,323.63
2014-09-22,328.48999,329.48999,321.06,324.50,3109700,324.50
2014-09-19,327.60001,332.76001,325.57001,331.32001,6886200,331.32001
2014-09-18,325.44,327.10001,323.70999,325.00,2576900,325.00
2014-09-17,327.76001,328.00,321.51999,324.00,4136000,324.00
2014-09-16,321.07001,329.48001,320.10001,327.76001,3259900,327.76001
2014-09-15,330.91,331.32999,319.00,323.89001,4000400,323.89001
2014-09-12,329.56,332.89001,328.79001,331.19,3429300,331.19
2014-09-11,329.94,333.01001,326.39001,330.51999,2720200,330.51999
2014-09-10,334.29999,334.98001,328.82001,331.32999,3797400,331.32999
2014-09-09,341.60999,341.76001,329.17999,329.75,4646800,329.75
2014-09-08,344.54001,345.81,339.04001,342.34,2955300,342.34
2014-09-05,346.29999,346.82999,342.50,346.38,2107000,346.38
2014-09-04,343.69,349.38,343.57999,345.95001,3965600,345.95001
2014-09-03,342.54001,343.26999,337.54999,339.00,1993700,339.00
2014-09-02,339.98001,342.50,337.16,342.38,2326000,342.38
2014-08-29,341.76001,341.82001,337.67999,339.04001,1939500,339.04001
2014-08-28,340.00,341.79001,338.79999,340.01999,2252700,340.01999
2014-08-27,342.09,346.67001,341.34,343.17999,2961600,343.17999
2014-08-26,337.00,344.35999,334.54999,341.82999,3654700,341.82999
2014-08-25,333.20999,336.76999,332.70999,334.01999,1957700,334.01999
2014-08-22,332.98999,334.07999,330.79999,331.59,2211200,331.59
2014-08-21,336.48001,336.57999,332.23001,332.91,1971100,332.91
2014-08-20,334.67999,337.16,334.01999,335.78,1810500,335.78
2014-08-19,334.87,335.81,333.01001,335.13,1713800,335.13
2014-08-18,335.48001,337.79999,333.76999,334.53,2485400,334.53
2014-08-15,334.00,335.00,328.32001,333.63,3896700,333.63
